attribution_title,Entrance,Reserve,qualified request,revenue,Reserve/OTP,request,Entrance/Reserve,QR/Request,week_type,Buy/OTP verified,Buy,OTP verified QR,Reserve Request,Otp/QR
affiliate program,123,215,553,937500000,41.666666666666664,1043,57.2093023255814,53.02013422818792,past week,4.844961240310077,25,516,356,93.30922242314648
Affilio,0,1,1,0,100,3,0,33.333333333333336,past week,0,0,1,1,100
Akharinkhodro-banner,2,3,9,0,33.333333333333336,15,66.66666666666667,60,past week,0,0,9,6,100
App install,35,74,169,246000000,48.05194805194805,268,47.2972972972973,63.059701492537314,past week,3.896103896103896,6,154,94,91.12426035502959
asanpardakht-icon,43,117,509,466000000,25.379609544468547,1387,36.75213675213675,36.69790915645277,past week,2.6030368763557483,12,461,259,90.56974459724951
Azkivam-sms,0,0,0,24000000,0,0,0,0,past week,0,1,0,0,0
badesaba-banner,1,8,24,43000000,38.095238095238095,68,12.5,35.294117647058826,past week,4.761904761904762,1,21,14,87.5
Bale-pin,0,1,8,0,16.666666666666668,24,0,33.333333333333336,past week,0,0,6,4,75
bama-baner,22,46,122,203000000,39.31623931623932,208,47.82608695652174,58.65384615384615,past week,4.273504273504273,5,117,66,95.90163934426229
blog,102,253,1047,1450355000,27.116827438370848,4256,40.316205533596836,24.600563909774436,past week,3.9657020364415865,37,933,653,89.11174785100286
chatgpt,2,2,4,291000000,50,13,100,30.76923076923077,past week,75,3,4,2,100
chavosh-instagram,0,1,2,0,50,2,0,100,past week,0,0,2,1,100
Chavosh-social media,51,156,668,528900000,25.407166123778502,1810,32.69230769230769,36.9060773480663,past week,1.6286644951140066,10,614,335,91.91616766467065
Dealer-inchannel,0,1,5,99000000,25,13,0,38.46153846153846,past week,25,1,4,2,80
Direct,377,715,2027,4458140000,37.7906976744186,3564,52.72727272727273,56.874298540965206,past week,5.708245243128964,108,1892,1145,93.33991119881598
ecrm-retargeting-k,0,0,0,0,0,3,0,0,past week,0,0,0,0,0
ecrm-retargeting-m,1,2,2,0,100,5,50,40,past week,0,0,2,2,100
googleads,126,295,930,1311835000,33.830275229357795,1989,42.71186440677966,46.757164404223225,past week,4.013761467889909,35,872,542,93.76344086021506
INTRACK,208,353,1084,2747679000,33.97497593840231,2251,58.92351274787536,48.15637494446913,past week,4.908565928777671,51,1039,516,95.84870848708488
intrack-incoming call,33,48,241,265500000,20.77922077922078,277,68.75,87.00361010830325,past week,2.5974025974025974,6,231,119,95.850622406639
intrack-web-push,0,1,7,0,14.285714285714286,8,0,87.5,past week,0,0,7,2,100
Jaryan-inchannel,43,167,1358,702008000,14.458874458874458,3951,25.748502994011975,34.371045304986076,past week,1.3852813852813852,16,1155,421,85.05154639175258
Jaryan-session,0,0,0,0,0,1,0,0,past week,0,0,0,0,0
nazarkadeh,2,2,5,0,40,8,100,62.5,past week,0,0,5,4,100
offline-branch,17,18,19,103000000,94.73684210526316,22,94.44444444444444,86.36363636363636,past week,21.05263157894737,4,19,18,100
offline-offline,943,1636,2204,11497353000,74.22867513611615,2686,57.640586797066014,82.05510052122115,past week,12.386569872958258,273,2204,345,100
organic,2607,4717,11856,34300100500,42.040998217468804,19146,55.26817892728429,61.924161704794734,past week,7.219251336898395,810,11220,6995,94.63562753036437
Pishgam-dealers-crawl,0,0,2,0,0,3,0,66.66666666666667,past week,0,0,2,1,100
Pishgam-smsBULK,1,3,9,30000000,33.333333333333336,17,33.333333333333336,52.94117647058823,past week,11.11111111111111,1,9,3,100
pishgam-smsretargeting,70,113,331,605310000,35.87301587301587,418,61.94690265486726,79.1866028708134,past week,3.492063492063492,11,315,155,95.16616314199396
Pump,2,8,51,0,19.047619047619047,104,25,49.03846153846154,past week,0,0,42,39,82.3529411764706
remarketing-sms,0,0,0,0,0,2,0,0,past week,0,0,0,1,0
